"","X","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"137",137,"Nicole Osei","False","2020-12-14"," vaccines are making their way to distributions sites nationwide. says some of the… ","['PfizerBioNTech', 'COVID19']",2,3,3,0,0,0,1,3,"AVG","NEU",2
"139",139,"The Daily Star","True","2020-12-14"," became on Monday the first Asian country to approve and said it ex… ","['Singapore', 'PfizerBioNTech', 'CoronavirusVaccine']",2,1,8,0,0,0,1,2.75,"AVG","NEU",2
"141",141,"Hal Maas","False","2020-12-14"," COVID-19 vaccine being distributed; formally casts votes today; los… ","['PfizerBioNTech', 'ElectoralCollege', 'DetroitLions']",2,0,1,0,0,0,1,0.25,"LOW","NEU",2
"144",144,"Anita Raja","False","2020-12-14","Excited about tomorrow So honoured to be part to this exciting team administering in primary care ","['Covid_19']",1,0,3,0.9255,0.529,0,0.471,0.75,"LOW","POS",2
"145",145,"Maddalena Bettanesi","False","2020-12-14"," caught on video admitting will CHANGE our FOREVER.… ","['Covidvaccine', 'DNA']",2,2,1,0,0,0,1,1.75,"AVG","NEU",2
"154",154,"Okkie Tenggala","False","2020-12-14"," World🌏 Thank you &amp; Team ","['PfizerBioNTech', 'DrSahin']",2,11,37,0.3612,0.263,0,0.737,17.5,"HIGH","POS",2
"157",157,"💙𝗖𝗵𝘂𝗰𝗸 𝗪𝗶𝗻𝘁𝗲𝗿💙 #MakeAmericaSafeAgain","False","2020-12-14","True question for As with many vaccines the vaccine needs to be given in 2 shots: a… ","['scientists', 'PfizerBioNTech']",2,0,0,0.4215,0.149,0,0.851,0,"LOW","POS",2
"160",160,"India.com","True","2020-12-14"," is unlikely to be available in India for mass distribution. Read to find out why. ","['Pfizervaccine', 'PfizerBioNTech']",2,0,0,0,0,0,1,0,"LOW","NEU",2
"175",175,"Professor Kwaku Akyeampong, CEO-C, COO-C 🇬🇭🇺🇸","False","2020-12-14","Pfizer-BioNTech’s COVID19 vaccine is also urgently needed for Africa: &amp; rest… ","['Ghana', 'Nigeria', 'Egypt', 'SouthAfrica']",2,0,1,0,0,0,1,0.25,"LOW","NEU",2
"182",182,"Joanbeam3000","False","2020-12-14"," And we're nowhere near 2030. Premature innoculation...? 😇 ","['PfizerBioNTech', 'CdnPoli']",2,0,1,0.4588,0.231,0,0.769,0.25,"LOW","POS",2
"183",183,"Mohua Dutta","False","2020-12-14"," 🙏 First batch of doses of vaccines are in ......YAY many congratulations 🙏… ","['HarHarMahadev', 'Pfizer', 'BioNTech', 'Canada']",2,37,170,0.8415,0.382,0,0.618,70.25,"HIGH","POS",2
"184",184,"Anita Anand","True","2020-12-14","Welcoming the 1st to 🇨🇦 tonight! The 1st 30K doses of are arriving across the cou… ","['COVID19vaccines', 'PfizerBioNTech']",2,284,1979,0.4926,0.175,0,0.825,707.75,"HIGH","POS",2
"193",193,"ILKHA","True","2020-12-13","Turkey’s coronavirus death toll reaches 16,417 ","['CoronavirusPandemic', 'Turkey', 'PfizerBioNTech']",2,3,2,-0.5719,0.132,0.429,0.44,2.75,"AVG","NEG",1
"194",194,"Dr.Krutika Kuppalli","True","2020-12-13","In case anyone is interested here is a link to the patient information that is on t… ","['PfizerBioNTech', 'COVID19Vaccine']",2,10,24,0.4019,0.144,0,0.856,13.5,"HIGH","POS",1
"195",195,"Dr.Krutika Kuppalli","True","2020-12-13"," Yes here is the link to the patient education information from that should be given… ","['PfizerBioNTech']",1,9,37,0.4019,0.162,0,0.838,16,"HIGH","POS",1
"196",196,"Ishdeep Kohli","False","2020-12-13"," first vaccines are going out! officially allows ","['UnitedStates', 'Covid19', 'CDC', 'PfizerBioNTech', 'coronavirus']",3,1,4,0,0,0,1,1.75,"AVG","NEU",1
"197",197,"Tamer Yazar","False","2020-12-13","Infections - : 220,575 : 43,279 : 30,805 - ","['worldwide', 'UnitedStates', 'Brazil', 'Turkey', 'coronavirus', 'Corona', 'Covid_19']",3,0,0,0,0,0,1,0,"LOW","NEU",1
"198",198,"RT","True","2020-12-13"," COVID-vaccine given the green light in the US ","['PfizerBioNTech']",1,8,21,0,0,0,1,11.25,"HIGH","NEU",1
"201",201,"Poorvi Desai, MD, DipABLM","False","2020-12-13","Here we go! Grateful to be among the first group of vaccinated healthcare workers in Tampa/FL against 🙏🏽… ","['COVID19']",1,0,6,0.5093,0.136,0,0.864,1.5,"AVG","POS",1
"202",202,"Aaron DeVries","False","2020-12-13"," have released their Interim Guidance for use of COVID Vaccine ","['CDC', 'ACIP', 'PfizerBioNTech']",2,0,1,0,0,0,1,0.25,"LOW","NEU",1
"203",203,"Jennifer Lee","True","2020-12-13","Dr. Kathy Lofy says the vaccine will be a new tool in our tool box, and says she’ll also get vaccinated as soon as… ","",1,1,4,0,0,0,1,1.75,"AVG","NEU",1
"204",204,"Chris Hendel","False","2020-12-13","The Advisory Committee on Immunization Practices’ Interim Recommendation for Use of Pfizer-BioNTech COVID-19 Vaccin… ","",1,0,0,0,0,0,1,0,"LOW","NEU",1
"208",208,"Getty Images News","True","2020-12-13","Boxes containing the first shipment of the Pfizer-BioNTech are prepared to be sent at the ","['COVID19', 'vaccine', 'Pfizer']",2,6,28,0.2263,0.119,0,0.881,11.5,"HIGH","POS",1
"210",210,"BRI Network","False","2020-12-13","Answers to questions about ","['COVID', 'vaccination', 'vaccine', 'Covid_19', 'healthcare', 'health']",3,4,0,0,0,0,1,3,"AVG","NEU",1
"213",213,"T. Schwarz-Romond","False","2020-12-13","Have to agree: UK, US vaccinate with technology pioneered in 2 German, one US-Biotechs; US celebrates distribution… ","",1,1,4,0.7351,0.292,0,0.708,1.75,"AVG","POS",1
"216",216,"#MasksSaveLives🌊Vulcan🖖Writer✒Mom💁","False","2020-12-13"," Apparently the trucks are escorted by US Marshals... So 🤞🤞 they will stay safe, no hijacking o… ","",1,0,3,0.1779,0.126,0.095,0.779,0.75,"LOW","POS",1
"217",217,"CivMilAir ✈🎅🎄☃️🔔","False","2020-12-13","Airborne - heading to Memphis 👇 🇺🇸 FedEx A306 N669FE ","['PfizerBioNTech', 'CovidVaccine']",2,12,70,0,0,0,1,26.5,"HIGH","NEU",1
"218",218,"The Epoch Times","True","2020-12-13","The newly approved for the will start being distributed to US states on Dec. 14, according to of… ","['Vaccine', 'CCPVirus']",2,23,133,0.4215,0.141,0,0.859,50.5,"HIGH","POS",1
"219",219,"Simon Hodes ⬅️2m➡️ 😷","False","2020-12-13"," Think we are going to be seeing a lot of this happening The l… ","",1,7,21,0,0,0,1,10.5,"HIGH","NEU",1
"223",223,"Realtalktimenews","False","2020-12-13","The first trucks loaded with Pfizer’s coronavirus shot pulled out of a Michigan warehouse early Sunday — starting t… ","",1,0,0,0,0,0,1,0,"LOW","NEU",1
"225",225,"Alex777","False","2020-12-13"," all same toxic ","['Pfizer', 'PfizerCovidVaccine', 'vaccine', 'vaccination', 'BioNTech', 'PfizerBioNTech', 'Moderna', 'mRNA']",3,0,0,0,0,0,1,0,"LOW","NEU",1
"226",226,"Pritesh #StayHomeSaveLife 🇮🇳","False","2020-12-13"," The vaccine began leaving the company's factory on Sunday, set to… ","['UPDATE', 'PfizerBioNTech', 'Covid', 'Michigan']",2,0,0,0,0,0,1,0,"LOW","NEU",1
"228",228,"AFP News Agency","True","2020-12-13"," The Covid-19 vaccine began leaving the company's Michigan factory on Sunday, set to be inje… ","['UPDATE', 'PfizerBioNTech']",2,33,48,0,0,0,1,36.75,"HIGH","NEU",1
"229",229,"SMB","False","2020-12-13"," Someone should remind that the vaccine was not developed in the US. ","['PfizerBioNTech', 'scienceovermorons']",2,9,169,0,0,0,1,49,"HIGH","NEU",1
"230",230,"Times of Oman","True","2020-12-13","Rival US companies and are working side-by-side to ship the ","['UPS', 'FedEx', 'PfizerBioNTech', 'Covid', 'vaccine']",3,0,5,0,0,0,1,1.25,"AVG","NEU",1
"233",233,"Maraaz.Com","False","2020-12-13","Approval for / vaccine from FDA Advisory Board. LAST MINUTE NEWS: The US Food and Drug Administra… ","['Pfizer', 'Biontech']",2,0,0,0.4767,0.162,0,0.838,0,"LOW","POS",1
"234",234,"Stuart Ralston","False","2020-12-13","Happy and relieved to have the – amazing work from all at and since… ","['PfizerBioNTech', 'Covidvaccine']",2,11,44,0.8779,0.479,0,0.521,19.25,"HIGH","POS",1
"236",236,"The Peninsula Qatar","True","2020-12-13","The US Food and Drug Administration (FDA) issued yesterday the first emergency use authorization of the Pfizer-BioN… ","",1,1,2,-0.3818,0,0.14,0.86,1.25,"AVG","NEG",1
"243",243,"ILKHA","True","2020-12-13","Global coronavirus death toll reaches 1,611,637 ","['CoronavirusPandemic', 'PfizerBioNTech']",2,2,4,-0.5719,0.132,0.429,0.44,2.5,"AVG","NEG",1
"244",244,"Brighton Journal","False","2020-12-13","Two people in the United Kingdom have experienced an allergic reaction to the Pfizer/BioNTech COVID-19 vaccine. Rea… ","",1,2,1,0.1531,0.14,0.11,0.75,1.75,"AVG","POS",1
"246",246,"IANS Tweets","True","2020-12-13","The first shipments of the vaccine will begin arriving in states from Monday, an offi… ","['PfizerBioNTech', 'Covid_19', 'US']",2,2,5,0,0,0,1,2.75,"AVG","NEU",1
"249",249,"We For News","False","2020-12-13","Health has warned people allergic to any of the ingredients in the vaccine not to… ","['Canada', 'PfizerBioNTech', 'COVID19']",2,0,0,-0.5106,0,0.249,0.751,0,"LOW","NEG",1
"258",258,"Mango News","False","2020-12-13","US President Donald Trump announced that the vaccine will be free for all Americans and has thanked all the scienti… ","",1,0,0,0.7351,0.256,0,0.744,0,"LOW","POS",1
"262",262,"ellen zee🎤","False","2020-12-13"," created the vaccine not Trump. he recommended bleach injections. 😷","['PfizerBioNTech']",1,0,0,0.1048,0.137,0.109,0.754,0,"LOW","POS",1
"264",264,"Colombo Gazette","False","2020-12-13","The US public will start receiving the Pfizer/BioNTech coronavirus vaccine from Monday after it was authorised for… ","",1,1,3,0,0,0,1,1.5,"AVG","NEU",1
"268",268,"francisthomas","False","2020-12-13"," You were hatched in Canada (2) vaccine was developed in Germany (3) Scie… ","['PfizerBioNTech']",1,0,0,0,0,0,1,0,"LOW","NEU",1
"269",269,"Opoyi","False","2020-12-13","Doses of the vaccine will begin leaving the company's factory in on Sunday. Th… ","['PfizerBioNTech', 'Kalamazoo', 'Michigan']",2,0,1,0,0,0,1,0.25,"LOW","NEU",1
"273",273,"Dr.Krutika Kuppalli","True","2020-12-13","The Canadian guidance for people with allergies to the - since this is still an evolv… ","['PfizerBioNTech', 'CovidVaccine']",2,2,4,0,0,0,1,2.5,"AVG","NEU",1
"274",274,"can't think","False","2020-12-13"," Why is NOT 100% transparent about it? ","['Pfizervaccine', 'PfizerBioNTech', 'Pfizer', 'coronavirus', 'VaccinesWork']",3,1,0,0,0,0,1,0.75,"LOW","NEU",1
"275",275,"NR","False","2020-12-13","You're wrong: MALAYSIA has already pre-ordered (expected in 2021) plus is part of… ","['PfizerBioNTech', 'COVID19Vaccine']",2,1,2,-0.4767,0,0.205,0.795,1.25,"AVG","NEG",1
"276",276,"Dr Anushka Aubeelack🐝🇪🇺","False","2020-12-13","I love high quality infographics for getting across multiple ideas quickly Here is an excellent set from The Fact… ","",1,4,4,0.836,0.317,0,0.683,4,"AVG","POS",1
"278",278,"rao tadepalli","False","2020-12-13","What we can learn from the victory over A good refresher on how polio came to an end. Let's not forget… ","['Polio']",1,1,7,0.4404,0.127,0,0.873,2.5,"AVG","POS",1
"282",282,"ProfD","False","2020-12-13"," ordered enough of the for all of its people- we were too… ","['Canada', 'PfizerBioNTech', 'vaccine']",2,0,0,0,0,0,1,0,"LOW","NEU",1
"288",288,"Fares Bou-Daher","False","2020-12-12","Say NO to Covid-19 vaccines! ","['vaccine', 'vaccination', 'Pfizervaccine', 'Covid_19', 'PfizerBioNTech', 'CovidVaccines']",3,0,0,-0.4981,0,0.446,0.554,0,"LOW","NEG",0
"290",290,"Kathryn Cobb","False","2020-12-12","🙏🏼🙏🏼🙏🏼🙏🏼 FDA approves Pfizer’s COV… ","['FDA', 'PfizerBioNTech', 'OperationWarpSpeed', 'CoronaVaccine', 'grateful', 'COVID', 'Corona']",3,0,1,0.4019,0.105,0,0.895,0.25,"LOW","POS",0
"296",296,"World Affairs","True","2020-12-12","New PODCAST: Vaccinating Our Way Out of the Pandemic &amp; discuss the… ","",1,10,34,0,0,0,1,16,"HIGH","NEU",0
"297",297,"Marc Siegel MD","False","2020-12-12","Eric Shawn: The vaccine is here...in record time! thanks for al… ","",1,8,32,0.4926,0.242,0,0.758,14,"HIGH","POS",0
"303",303,"🚶🏻Curtis S. Chin","True","2020-12-12"," DYK: the &amp; the are among the first nations to approve the ","['TwitterPoll', 'UK', 'Bahrain', 'Canada', 'USA', 'PfizerBioNTech']",3,4,2,0,0,0,1,3.5,"AVG","NEU",0
"306",306,"Honest Abe","False","2020-12-22"," Vaccine was discovered and developed in Europe by Turkish-German husband and wife ","['COVID19vaccine']",1,0,0,0,0,0,1,0,"LOW","NEU",10
"307",307,"Massimo Guerrera","False","2020-12-22","Tiffany Dover is alive! 👀😃 ","['TiffanyDover', 'Pfizer', 'PfizerBioNTech', 'Pfizervaccine', 'VaccinoAntiCovid']",3,1,1,0.6588,0.403,0,0.597,1,"LOW","POS",10
"310",310,"Naresh kanumilli","False","2020-12-16"," important day f… ","",1,2,10,0.2023,0.474,0,0.526,4,"AVG","POS",4
"311",311,"F “I’m dating Moderna” J","False","2020-12-16","It’ll be interesting to see the post-vaccine birth rates next winter. 😂 ","['COVID19', 'PfizerBioNTech']",2,0,1,0.6808,0.304,0.089,0.607,0.25,"LOW","POS",4
"312",312,"StevenH","False","2020-12-16","Covid Vaccinated!! ","['vaccination', 'PfizerBioNTech', 'CoronaVaccine']",2,0,2,0,0,0,1,0.5,"LOW","NEU",4
"314",314,"CNBC-TV18","True","2020-12-16","""The Moderna vaccine does not need some of the extra special handling requirements of the one from Pfizer, includin… ","",1,0,4,0.4019,0.13,0,0.87,1,"LOW","POS",4
"321",321,"Tudor G. Jovin, MD","False","2020-12-16","Excited to have received the first part of my today.Impressive resource mobilization… ","['PfizerBioNTech', 'CovidVaccine']",2,7,88,0.34,0.179,0,0.821,27.25,"HIGH","POS",4
"322",322,"Jackson Health System","False","2020-12-16","More than 1,000 Jackson employees have successfully received their first dose of the vacci… ","['PfizerBioNTech', 'COVID19']",2,11,84,0.4939,0.198,0,0.802,29.25,"HIGH","POS",4
"323",323,"Esha Kaur Sarai","False","2020-12-16","Something interesting I learned during an interview with today: There's been a lot of chatter about how… ","",1,0,6,0.4019,0.144,0,0.856,1.5,"AVG","POS",4
"326",326,"ILKHA","True","2020-12-15","Turkey’s death toll from COVID-19 rises to 16,881 ","['coronavirus', 'PfizerBioNTech', 'Sinovac']",2,2,2,-0.5994,0,0.358,0.642,2,"AVG","NEG",3
"330",330,"RoyaNewsEnglish","False","2020-12-15"," is pressuring to license the vaccine before Christmas ","['Berlin', 'Brussels', 'PfizerBioNTech']",2,0,0,-0.34,0,0.255,0.745,0,"LOW","NEG",3
"332",332,"Beleaver","False","2020-12-15","Has anyone notice that most of the vaccinations all over NHS were picture taken? No video actual vaccination? Becau… ","",1,0,0,-0.3736,0,0.125,0.875,0,"LOW","NEG",3
"336",336,"Jackson Health System","False","2020-12-15","More from Jackson North Medical Center getting their vaccine today. ","['HealthcareHeroes', 'COVID19', 'PfizerBioNTech']",2,6,49,0,0,0,1,16.75,"HIGH","NEU",3
"341",341,"Maha Kaissi, MD","False","2020-12-15","IT HAPPENED!!!!!!!! I got my first dose of the vaccine today - THE BEST HOLIDAY PRESENT EVER!!! Als… ","['PfizerBioNTech']",1,7,125,0.8894,0.373,0,0.627,36.5,"HIGH","POS",3
"342",342,"ILKHA","True","2020-12-15","Turkey’s death toll from COVID-19 rises to 16,881 ","['coronavirus', 'PfizerBioNTech', 'Sinovac']",2,2,4,-0.5994,0,0.358,0.642,2.5,"AVG","NEG",3
"344",344,"Prof Shafi Ahmed PhD FRCS","True","2020-12-15","So pleased to get my vaccine just now! 💉 It is so important that as many people as possi… ","['PfizerBioNTech', 'Covid_19']",2,10,115,0.7051,0.256,0,0.744,36.25,"HIGH","POS",3
"345",345,"Benjamin Rock","False","2020-12-15","Had the first dose of my COVID vaccine today. We still have to wear PPE and still socially distant but at least we… ","",1,0,14,0,0,0,1,3.5,"AVG","NEU",3
"348",348,"TyneHealth - North Tyneside GP Federation","False","2020-12-15","Our MD Dr Susannah Thompson pulling out all the stops leading a magnificent team of NHS staff &amp; volunteers tonight… ","",1,4,41,0.5106,0.166,0.068,0.766,13.25,"HIGH","POS",3
"350",350,"Jackson Health System","False","2020-12-15","“I’m just honored to be one of the first getting vaccinated. Protect yourself and protect your loved ones by gettin… ","",1,14,69,0.9169,0.446,0,0.554,27.75,"HIGH","POS",3
"351",351,"Taz Ebenezer","False","2020-12-15","So proud of the whole team today, we have officially started vaccinating. Everyone has worked extremely… ","",1,19,112,0.5256,0.184,0,0.816,42.25,"HIGH","POS",3
"352",352,"WorldMap1","False","2020-12-15","First Vaccine Shots in the US Watch video at ","['FirstVaccineShots', 'COVID', 'COVID19']",2,0,0,0,0,0,1,0,"LOW","NEU",3
"353",353,"🎖 Big Al 🎖","False","2020-12-15","Hey with respect to your say someone gets vaccinated and builds antibodies, can they donate… ","['CovidVaccine']",1,0,0,0.4767,0.181,0,0.819,0,"LOW","POS",3
"355",355,"COVID-19 Consulting, LLC","False","2020-12-15","The does not contain a live virus. The vaccine cannot and will not cause COVID19 disease. Not even possible.","['PfizerBioNTech', 'CovidVaccine']",2,0,0,0,0,0,1,0,"LOW","NEU",3
"359",359,"🚶🏻Curtis S. Chin","True","2020-12-15"," 🇺🇸💉🦠 Hospital CEO Van Houweling says a UMC nurse was the 1st person to be vaccinated against… ","['USA', 'Nevada']",2,0,2,0,0,0,1,0.5,"LOW","NEU",3
"360",360,"Dr.Krutika Kuppalli","True","2020-12-15"," 4th person in to get the I feel… ","['notwastingmyshot', 'Charleston', 'PfizerBioNTech', 'CovidVaccine']",2,51,482,0,0,0,1,158.75,"HIGH","NEU",3
