"","X","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"806",806,"Laavanya Damodaran","False","2020-12-19","A huge thank you to everyone involved in the COVID vaccination programme. Dose 1 of 2. Ensuring the safety of every… ","",1,2,15,0.8271,0.363,0,0.637,5.25,"AVG","POS",7
"3143",3143,"Kanchan Srivastava","True","2021-01-12","Joe Biden Takes Second Shot Of Vaccine, Opposition Wants PM Modi To Do The Same ","",1,9,26,0,0,0,1,13.25,"HIGH","NEU",31
"1044",1044,"Saju Mathew MD MPH","False","2020-12-20","Hold on America. We have 2 to help us crush this virus. BUT we have to do our part. Make wise decisions.… ","['vaccines']",1,0,3,0.6908,0.228,0.049,0.722,0.75,"LOW","POS",8
"4076",4076,"Faisal Nawaz","False","2021-01-19","This vaccine brings hope. This vaccine is our best chance to a life-saving future. With a smile under the mask,… ","",1,8,47,0.891,0.42,0,0.58,17.75,"HIGH","POS",38
"1349",1349,"Deji Adegunsoye","False","2020-12-23","I did it! For me, my family, my friends, ...pretty much everyone around me! LOVE IS A VERB! ","['GetVaccinated']",1,7,79,0.9203,0.447,0,0.553,25,"HIGH","POS",11
"5664",5664,"STOPCOMMONPASS.ORG ❌","False","2021-02-17"," No - it can't be a 'condition of employment' because: 1. jab isn't legally/technically a… ","['PfizerBioNTech']",1,9,28,-0.296,0,0.136,0.864,13.75,"HIGH","NEG",67
"3538",3538,"Fiore DiNotte","False","2021-01-14","""Protection"" and ""efficacy"" need to be clarified. Antibodies need to be neutralizing and must not induce antibody… ","",1,0,2,0,0,0,1,0.5,"LOW","NEU",33
"1325",1325,"WAM English","True","2020-12-23"," SkyCargo transports first batch of vaccines for Health Authority… ","['Emirates', 'PfizerBioNTech', 'COVID19', 'Dubai']",2,1,4,0,0,0,1,1.75,"AVG","NEU",11
"4180",4180,"Colm Ryan","False","2021-01-20","Great news that and vaccines are effective against the new variants although the… ","['Moderna', 'PfizerBioNTech', 'COVID19']",2,0,1,0.802,0.396,0,0.604,0.25,"LOW","POS",39
"2522",2522,"Mark Agulnik, MD","False","2021-01-06"," Thanks - done for my patients, my family, my neighbors, my community.… ","['igottheshot', 'PfizerBioNTech']",2,1,19,0.4404,0.209,0,0.791,5.5,"AVG","POS",25
"2591",2591,"David Mclenachan","False","2021-01-08","Vaccine 💉 and crazy busy at the vaccination centre this afternoon ","['PfizerVaccine', 'PfizerBioNTech']",2,2,19,-0.34,0,0.194,0.806,6.25,"AVG","NEG",27
"5430",5430,"Fat Cat","False","2021-02-09","TRUE ! Before and after vaccination. ","['PfizerBiontech']",1,0,0,0.5893,0.433,0,0.567,0,"LOW","POS",59
"6125",6125,"Mathilda Mallinson","False","2021-02-24","Though it’s messed up that some far needier groups are currently being deprived of this, I’m overwhelmed with perso… ","",1,1,13,-0.6486,0.053,0.242,0.705,4,"AVG","NEG",74
"4540",4540,"Sophia","False","2021-01-26"," had unlimited access to the through an agreement of data sh… ","['Israel', 'PfizerBioNTech']",2,1,11,0.4939,0.242,0,0.758,3.5,"AVG","POS",45
"1122",1122,"CGTN","True","2020-12-25","The National Authority for Health said on Thursday it has approved the developed by… ","['French', 'vaccine']",2,12,38,0.4767,0.255,0,0.745,18.5,"HIGH","POS",13
"3211",3211,"Annabel","False","2021-01-11"," And when you get there you've got a good chance of Johnson also being there for another PR… ","",1,0,0,0.5994,0.234,0,0.766,0,"LOW","POS",30
"6209",6209,"Free Malaysia Today","False","2021-02-25","Most of the shots proposed by traders were purportedly the AstraZeneca vaccine. ","['FMTNews', 'PfizerBioNTech']",2,0,1,0,0,0,1,0.25,"LOW","NEU",75
"4564",4564,"Andrea F","False","2021-01-25","Just received dose 2 of covid-19 vaccine. So unbelievably grateful and relieved. One small but sign… ","['PfizerBioNTech']",1,0,52,0.4969,0.232,0,0.768,13,"HIGH","POS",44
"62",62,"H24","False","2020-12-14"," New York state administered its first non-trial vaccine this morning to a health care worker. The P… ","['PfizerBioNTech']",1,3,3,0.4939,0.167,0,0.833,3,"AVG","POS",2
"4083",4083,"Tony McPartland","False","2021-01-19","Apparently you get 100% protection if you share a photo like this? 🤷🏻‍♂️ ","['vaccine', 'COVID19', 'PfizerBioNTech']",2,0,3,0.5719,0.217,0,0.783,0.75,"LOW","POS",38
"183",183,"Mohua Dutta","False","2020-12-14"," 🙏 First batch of doses of vaccines are in ......YAY many congratulations 🙏… ","['HarHarMahadev', 'Pfizer', 'BioNTech', 'Canada']",2,37,170,0.8415,0.382,0,0.618,70.25,"HIGH","POS",2
"7411",7411,"Business Insider India🇮🇳","True","2021-04-02"," COVID-19 vaccine highly effective up to six months after second dose ","['PfizerBioNTech']",1,3,12,0.5256,0.253,0,0.747,5.25,"AVG","POS",111
"5591",5591,"Mayamahmoud","False","2021-02-14","Covid-19 Vaccinated ✅ In science we trust ","['PfizerBiontech', 'AUBMC', 'Lebanon']",2,0,50,0.5106,0.268,0,0.732,12.5,"HIGH","POS",64
"6529",6529,"GO Marketing","False","2021-03-04","BIG thank you to the NHS and our public sector health care workers. ","['covid', 'AstraZeneca', 'PfizerBioNTech', 'NHS']",2,0,0,0.6908,0.341,0,0.659,0,"LOW","POS",82
"6894",6894,"Ich bins","False","2021-03-14","So ist es‼️ ","['impfschaden', 'Impftote', 'PfizerBiontech', 'AstraZeneca', 'Propaganda', 'lockdown2021', 'Grundrechte', 'esreicht']",3,1,2,0,0,0,1,1.25,"AVG","NEU",92
"4492",4492,"Theo™","False","2021-01-24","Let's look at the figures differently. Vaccines delivered 26.12.2020 9,750 04.01.20… ","['Bulgaria', 'PfizerBioNTech']",2,0,1,0,0,0,1,0.25,"LOW","NEU",43
"372",372,"GW #WeThePeople","False","2020-12-15"," . was not affiliated with the silly Star Trek ""program"".… ","['lieslieslies', 'PfizerBioNTech', 'Trumpublican']",2,0,6,0.0258,0.109,0,0.891,1.5,"AVG","NEU",3
"7568",7568,"The English Post","False","2021-03-31","Pfizer-BioNTech Covid vaccine shows 100% efficacy in 12-15 yrs old ","['PfizerBioNTech', 'PfizerVaccine']",2,0,0,0,0,0,1,0,"LOW","NEU",109
"7414",7414,"Radica Hura🌹🏳️‍🌈","False","2021-04-02","It shook me up well, strong and effective. Bit of nause, stomach ache and chills but doesn't affect much of daily a… ","",1,0,0,0.4118,0.223,0.117,0.66,0,"LOW","POS",111
"1206",1206,"Khaleej Times","True","2020-12-24","Jacintha, a nurse at Hospital, poses after getting the Covid-19 vaccine at Al Barsha Health… ","['Dubai', 'PfizerBioNTech']",2,0,24,0,0,0,1,6,"AVG","NEU",12
"6995",6995,"4mole93","False","2021-03-16"," UK yellow cards record 28 thrombotic events (DVT/PE) with (10m) and 25 with (1… ","['AZ', 'PfizerBiontech']",2,6,27,0,0,0,1,11.25,"HIGH","NEU",94
"2773",2773,"nabardeakharin","False","2021-01-10"," Khamenei’s Red Crescent announced a ban on the import of 150,000 ","['Iran', 'PfizerBioNTech', 'vaccines']",2,0,0,-0.5574,0,0.265,0.735,0,"LOW","NEG",29
"7643",7643,"Jamie Forsstrom","False","2021-03-29","48h after receiving the second dose of ( I am absolutely back to normal. I experienc… ","['CovidVaccine', 'PfizerBiontech']",2,0,5,0,0,0,1,1.25,"AVG","NEU",107
"1722",1722,"AMIT KOIKKARAH AJI","False","2020-12-27","So the vaccination has started in Berlin and Brandenburg! Hopefully a better 2021 ","['Deutschland', 'COVIDー19']",2,0,1,0.7088,0.349,0,0.651,0.25,"LOW","POS",15
"3193",3193,"Mo","False","2021-01-11"," If Group most prone contracting are aged 80+ &amp; if those most vulnerable within that group are in… ","['COVID19']",1,0,0,-0.2944,0,0.114,0.886,0,"LOW","NEG",30
"6496",6496,"Times of Oman","True","2021-03-05","Those who are eligible for the second dose of the Pfizer BioNtech vaccine will be contacted. ","['CovidVaccine']",1,0,7,0,0,0,1,1.75,"AVG","NEU",83
"4097",4097,"BiggBoss (Tamil)","False","2021-01-19","Would you vaccinate or not? ","['vaccinated', 'vaccine', 'CoronavirusVaccine', 'PfizerBioNTech', 'AstraZeneca', 'Pfizer']",3,0,0,0,0,0,1,0,"LOW","NEU",38
"1898",1898,"Atilozz5 🏵️","False","2020-12-29","Young women in Europe. THINK TWICE BEFORE YOU TAKE THE VACCIN! ""It is unknown whether COVID-19 mRNA Vaccine BNT162b… ","",1,0,0,0,0,0,1,0,"LOW","NEU",17
"4238",4238,"Ian 3.5% #FBPE","False","2021-01-21"," I trust on the dosage instructions far more than I trust or the Gov.… ","['PfizerBioNTech', 'BBC']",2,14,26,0.7823,0.364,0,0.636,17,"HIGH","POS",40
"364",364,"🚶🏻Curtis S. Chin","True","2020-12-15"," 🇺🇸💉🦠 WVU Medicine has received shipments of the vaccine, &amp; has begun o… ","['USA', 'WestVirginia', 'PfizerBioNTech', 'COVID19']",2,0,1,0,0,0,1,0.25,"LOW","NEU",3
"258",258,"Mango News","False","2020-12-13","US President Donald Trump announced that the vaccine will be free for all Americans and has thanked all the scienti… ","",1,0,0,0.7351,0.256,0,0.744,0,"LOW","POS",1
"770",770,"Medical Study Blog","False","2020-12-17"," Pfizer/BioNTech Coronavirus vaccine approved for emegency use by FDA! View the article to know more!… ","",1,0,0,0.5242,0.195,0,0.805,0,"LOW","POS",5
"5047",5047,"Agence Europe","False","2021-02-02","HEALTH: welcomes industry’s efforts to speed up delivery of ","['Covid19', 'vaccines']",2,0,0,0.4019,0.252,0,0.748,0,"LOW","POS",52
"4130",4130,"Laszlo Szegedi Dr⚖§ #FBPE🇪🇺🇬🇧🇭🇺","False","2021-01-21"," : single dose about 52% effective, second dose around 95% effective. : si… ","['PfizerBioNTech', 'Israel']",2,2,5,0.7351,0.36,0,0.64,2.75,"AVG","POS",40
"3906",3906,"Rosie Ellis","False","2021-01-17","Grateful today that I was able to get my 2nd . . Covi… ","['CovidVaccine', 'PfizerBioNTech', 'HopefulSunday', 'sciencematters']",2,0,1,0.4588,0.2,0,0.8,0.25,"LOW","POS",36
"884",884,"James Kerridge, DNP, is getting the damn vaccine","False","2020-12-18","I can’t tell you how happy these images make me. Seeing my ICU and ED nurse managers being vaccinated brings me suc… ","",1,0,9,0.5719,0.15,0,0.85,2.25,"AVG","POS",6
"1859",1859,"Louis Gerber","False","2020-12-30","Oxford + approved by regulator. Advantages of - : lower… ","['AstraZeneca', 'vaccine', 'UK', 'oxfordvaccine', 'astrazenecavaccine']",3,0,1,0.6486,0.398,0,0.602,0.25,"LOW","POS",18
"435",435,"ITV News West Country","True","2020-12-15","GPs in the region will start administering the coronavirus vaccine today 👇 ","['PfizerBioNTech']",1,1,2,0,0,0,1,1.25,"AVG","NEU",3
"1505",1505,"Dr.Krutika Kuppalli","True","2020-12-21","Given all the questions regarding the and allergic reactions, I am happy to see this… ","['PfizerBioNTech', 'CovidVaccine']",2,9,12,0.3612,0.196,0.116,0.688,9.75,"AVG","POS",9
"4562",4562,"Beth Merrill","False","2021-01-25","Got the 1st dose of Covid vaccine the other day. Headache, sore arm, fatigue.... definitely worth it to live!… ","",1,0,0,0.1007,0.201,0.184,0.615,0,"LOW","POS",44
"7435",7435,"La Jolla Institute","False","2021-04-01",". on the significance of new data ","['PfizerBioNTech']",1,1,0,0.2732,0.259,0,0.741,0.75,"LOW","POS",110
"6354",6354,"El Marie.","False","2021-02-28","I haven't had my eyebrows professionally waxed since March of 2020. Check out the unibrow I snapped after getting m… ","",1,0,1,0,0,0,1,0.25,"LOW","NEU",78
"3938",3938,"Dr.Altaf Dashti","False","2021-01-17","System has been activated and updated 🤪 ✌🏼 ","['Second_dose', 'PfizerBioNTech', 'BillGates']",2,1,12,0.4939,0.211,0,0.789,3.75,"AVG","POS",36
"3923",3923,"Nurse Fay RN CCM","False","2021-01-17","Pfizer vaccine time at senior facility where I live Right after I got my vaccine, watched another resident get vacc… ","",1,43,67,0,0,0,1,49,"HIGH","NEU",36
"2555",2555,"Salisbury Journal","True","2021-01-07","Vaccinations in South Wiltshire have officially begun. Today, those in priority groups, received the first dose of… ","",1,6,25,0,0,0,1,10.75,"HIGH","NEU",26
"4",4,"Charles Adler","True","2020-12-12","Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… ","",1,446,2129,0,0,0,1,866.75,"HIGH","NEU",0
"5933",5933,"Yes... her.","False","2021-02-22","Again... comes up last with the least vaccinations, despite being co-developers of the most efficient curr… ","['Germany']",1,0,6,0.4754,0.171,0,0.829,1.5,"AVG","POS",72
"759",759,"Hope is the thing with feathers","False","2020-12-17"," Excellent thread. O/T: opinion on info from UK about possible mutation in spike proteins? Also, I just… ","",1,0,1,0.5719,0.188,0,0.812,0.25,"LOW","POS",5
"1603",1603,"Eduardo Ruíz-Duarte ⭔","False","2020-12-26","Found a beautiful article via (thanks! it is amazing) on how the from works, I will try… ","['vaccine', 'Pfizer']",2,14,26,0.8977,0.438,0,0.562,17,"HIGH","POS",14
"6148",6148,"P","False","2021-02-26"," Because the media and governments, also the 🇩🇪 media and 🇩🇪 politicians have said that t… ","",1,0,0,0,0,0,1,0,"LOW","NEU",76
"1432",1432,"demonspeedracer","False","2020-12-22"," ⁦ ⁦ ⁦ ⁦ ⁦ ⁦ ⁦ ⁦ ⁦… ","['Covid19UK', 'COVID19']",2,0,0,0,0,0,1,0,"LOW","NEU",10
"7168",7168,"Alexandra Superbonita","False","2021-03-22","Had my first shot of on Saturday: zero side effects, apart from feeling elated! Next shot due April 10th.🥂","['PfizerBiontech']",1,0,1,0.7177,0.24,0,0.76,0.25,"LOW","POS",100
"6791",6791,"Louise","False","2021-03-11","Second jab done! DOUBLE PFIZER ","['CovidVaccine', 'PfizerBiontech']",2,0,1,0,0,0,1,0.25,"LOW","NEU",89
"5307",5307,"ᴛʜᴇʟɪʙᴄᴏᴍᴍɪᴇ シ","False","2021-02-07","Jesus Christ people COME ON! ","['Covid_19', 'coronavirus', 'CoronavirusVaccine', 'CovidVaccine', 'AstraZeneca', 'Moderna', 'mrna']",3,0,0,0,0,0,1,0,"LOW","NEU",57
"2553",2553,"89 Connect","False","2021-01-07"," Tune into the 89 London event “Are we ready? A closer look at implementation and implications of t… ","['UpcomingEvent']",1,1,2,0.3612,0.128,0,0.872,1.25,"AVG","POS",26
"1969",1969,"Erich E. P. Honecker (chosen, not yet elected)","False","2020-12-31"," Very Good! Everybody is completely free to chose from at least three great vaccines: for th… ","['AstraZeneca']",1,0,0,0.9038,0.462,0,0.538,0,"LOW","POS",19
"2451",2451,"Simon Hodes ⬅️2m➡️ 😷","False","2021-01-06"," ","",1,0,1,0,0,0,0,0.25,"LOW","NEU",25
"75",75,"Flying Magazine","False","2020-12-14","Over the weekend, the issued guidance for pilots following use of the new for… ","['FAA', 'PfizerBioNTech', 'vaccine']",2,1,5,0,0,0,1,2,"AVG","NEU",2
"6158",6158,"Liz Lightstone 💙","False","2021-02-26","Huge 👏🏻👏🏻👏🏻 to &amp; all;… ","",1,22,71,0.3182,0.113,0,0.887,34.25,"HIGH","POS",76
"6742",6742,"Ian 3.5% #FBPE 💙","False","2021-03-10","When I had my 1st dose they wrote which arm. I assumed the 2nd would be the other arm otherwise why take note 🤔 The… ","",1,0,5,0,0,0,1,1.25,"AVG","NEU",88
"5711",5711,"James Neophytou","False","2021-02-18","“If it were done when ‘tis done, Then t’were well it were done quickly” Now for 15 minutes in t… ","['PfizerBioNTech']",1,0,5,0.2732,0.1,0,0.9,1.25,"AVG","POS",68
"7656",7656,"Elizabeth Gay 💙","False","2021-03-28","Super grateful and relieved to have my second covid vaccine dose. My sore arm just shows it's working. Bring on the… ","",1,0,18,0.7906,0.328,0.086,0.586,4.5,"AVG","POS",106
"7272",7272,"I'm A BeLeaver!","False","2021-03-25"," Blame Blame Blame! It's YOUR fault You're blaming ","['AstraZenica']",1,2,3,-0.908,0,0.817,0.183,2.25,"AVG","NEG",103
"3805",3805,"ISI Pak's Pride","False","2021-01-16"," has slammed the media for its silence over the deaths of 23 Norwegian elderly patients who were vaccinat… ","['China', 'US']",2,29,74,0,0,0,1,40.25,"HIGH","NEU",35
"680",680,"Karolina Chmielowiec","False","2020-12-17","Feeling very thankful and hopeful tonight ","['COVID19', 'PfizerBioNTech', 'vaccines', 'vaccinessavelives']",2,0,1,0.8425,0.751,0,0.249,0.25,"LOW","POS",5
"133",133,"Marc Siegel MD","False","2020-12-14","First Pfizer coronavirus vaccine doses set to arrive at hospitals ","['PfizerBioNTech']",1,3,21,0,0,0,1,7.5,"AVG","NEU",2
"1558",1558,"Dr Jules Gomes","False","2020-12-21","""Many of us would balk at accepting a cell line from the kidney of a Holocaust victim, even though that injustice f… ","",1,17,31,-0.4939,0.095,0.212,0.693,20.5,"HIGH","NEG",9
"274",274,"can't think","False","2020-12-13"," Why is NOT 100% transparent about it? ","['Pfizervaccine', 'PfizerBioNTech', 'Pfizer', 'coronavirus', 'VaccinesWork']",3,1,0,0,0,0,1,0.75,"LOW","NEU",1
"6620",6620,"SIDP","True","2021-03-07","Which did you get?? member received the vaccine and experience… ","['COVID19Vaccine', 'PfizerBiontech']",2,6,23,0,0,0,1,10.25,"HIGH","NEU",85
"5097",5097,"Eduardo Rafael Galue Mozo","False","2021-02-03","New study suggests their mRNA vaccine elicited antibodies that neutralise including vari… ","['PfizerBiontech', 'SARSCoV2']",2,0,0,0,0,0,1,0,"LOW","NEU",53
"6795",6795,"Izabela Ciepielewska","False","2021-03-11","""The results appear to make the third coronavirus vaccine to have an efficacy of more than 90 percent, al… ","['SputnikV']",1,3,4,0,0,0,1,3.25,"AVG","NEU",89
"3390",3390,"Adam Jarvis","False","2021-01-13"," I really like your new unofficial portrait Doug! ","['cdnpoli', 'covidiots', 'PfizerBioNTech', 'EndTheLockdowns']",2,0,0,0.474,0.306,0,0.694,0,"LOW","POS",32
"622",622,"ILKHA","True","2020-12-16","Global coronavirus death toll surpasses 1,64 million ","['Coronavirus', 'CovidVaccine', 'Sinovac']",2,1,3,-0.5994,0,0.394,0.606,1.5,"AVG","NEG",4
"7367",7367,"Indonesian Embassy in Oslo","False","2021-04-04","Ambassador is now fully vaccinated! He received his second dose of the Pfizer-BioNTech vaccine at Fr… ","",1,0,1,0,0,0,1,0.25,"LOW","NEU",113
"3434",3434,"The Epoch Times","True","2021-01-21","The may be effective against the more transmissible variant, according to… ","['PfizerBioNTech', 'Vaccine', 'COVID19UK']",2,12,40,0.4767,0.237,0,0.763,19,"HIGH","POS",40
"7409",7409,"Digambara Patra","False","2021-04-02","Vaccination in and has reduced cases dramatically. Seems vaccine has better r… ","['Israel', 'UK', 'Covid_19', 'PfizerBioNTech']",2,1,26,0.4404,0.209,0,0.791,7.25,"AVG","POS",111
"3029",3029,"Richard Zou","False","2021-01-09","In science we trust ","['CovidVaccine', 'PfizerBioNTech']",2,2,35,0.5106,0.524,0,0.476,10.25,"HIGH","POS",28
"5604",5604,"Asia & World News","False","2021-02-16","Malaysian Prime Minister has announced earlier this morning, that the vaccination dri… ","['MuhyiddinYassin', 'coronavirus']",2,0,0,0,0,0,1,0,"LOW","NEU",66
"6033",6033,"Pugazh :))","False","2021-02-24","Done with 1st dose of vaccine from 👍","['Pfizer', 'COVID', 'COVID19', 'COVID19Vaccination', 'PfizerBioNTech']",3,0,2,0,0,0,1,0.5,"LOW","NEU",74
"6611",6611,"Kate Flavin 💙","False","2021-03-08","Two doses of CoViD vaccine ✅ Feeling very grateful this morning. Please get yours as soon as you’re… ","['PfizerBiontech']",1,1,152,0.7264,0.283,0,0.717,38.75,"HIGH","POS",86
"5076",5076,"Lib Dem Lords","True","2021-02-01","Lord asks for reassurance that people can receive the second dose of the vaccine at th… ","['PfizerBiontech']",1,2,3,0.3612,0.143,0,0.857,2.25,"AVG","POS",51
"1006",1006,"حسن سجواني 🇦🇪 Hassan Sajwani","True","2020-12-21","Oman to receive its first vaccine shipments next Wednesday- Al Arabiya","['PfizerBioNTech']",1,3,58,0,0,0,1,16.75,"HIGH","NEU",9
"5643",5643,"Andy Wong","False","2021-02-17","COVID-19 Vaccinated Completed !!! 💉💪🏻 . . . . . ","['PfizerBioNTech', 'Vaccinated', 'StaySafe', 'SGUnited', 'TogetherStronger']",3,0,6,0,0,0,1,1.5,"AVG","NEU",67
"1557",1557,"Meg Wallace, LISW-CP","False","2020-12-21","Two of three members of our household officially vaccinated. So thankful ","['CovidVaccine', 'PfizerBioNTech']",2,1,15,0.6948,0.322,0,0.678,4.5,"AVG","POS",9
"2418",2418,"Iranian Community Romania","False","2021-01-09"," Khamenei’s Red Crescent announced a ban on the import of 150,000 ","['PfizerBioNTech', 'vaccines']",2,0,0,-0.5574,0,0.265,0.735,0,"LOW","NEG",28
"5073",5073,"Stuart Dykes","False","2021-02-01","Seeing a lot of discussion in Germany with people not wanting the vaccine because of the lower efficac… ","['AstraZeneca']",1,0,5,-0.296,0,0.115,0.885,1.25,"AVG","NEG",51
"3240",3240,"just_jana🌈","False","2021-01-13","It’s been several hours since my first dose of the The injection site is a little sore and I h… ","['PfizerCovidVaccine']",1,0,1,-0.2975,0,0.104,0.896,0.25,"LOW","NEG",32
"1982",1982,"حسن سجواني 🇦🇪 Hassan Sajwani","True","2020-12-31","Dubai Health Authority Director-General, H.E. Humaid Al Qutami received the first dose of the Covid… ","['PfizerBioNTech']",1,5,33,0.0772,0.085,0,0.915,12,"HIGH","POS",19
"1356",1356,"can't think","False","2020-12-22"," Did you take this If no WHY NOT? ","['vaccine', 'COVID19', 'COVID', 'vaccination', 'vaccines', 'VaccinesSaveLives']",3,0,0,-0.296,0,0.239,0.761,0,"LOW","NEG",10
"2485",2485,"Onetrue_JohnB","False","2021-01-06","My Hero stats are now boosted with 52% immunity to covid19. 💪🏼 ","['COVID19ireland', 'PfizerVaccine', 'PfizerBioNTech']",2,0,1,0.7269,0.303,0,0.697,0.25,"LOW","POS",25
"6388",6388,"CCTV+","True","2021-03-02"," has become the 1st country in the and only the 3rd in the world to receive ","['Colombia', 'Americas', 'coronavirusvaccines']",2,0,3,0,0,0,1,0.75,"LOW","NEU",80
"2738",2738,"Dr Liz Barry","False","2021-01-07","An unexpectedly emotional moment! Very privileged to have received this today. In awe of the science that got us he… ","",1,4,96,0.623,0.22,0,0.78,27,"HIGH","POS",26
"4294",4294,"Jason Farley, Ph.D., MPH, NP, FAAN, FAANP 🏳️‍🌈","True","2021-01-21","Vaccine dose 2 today. ","['PfizerBioNTech', 'VaccinesWork', 'NurseTwitter']",2,7,41,0,0,0,1,15.5,"HIGH","NEU",40
"4270",4270,"Keith Parkins","False","2021-01-21"," Shocking. Second vaccine delay, not approved by manufacturers, no trial da… ","",1,0,0,-0.8192,0,0.577,0.423,0,"LOW","NEG",40
"6532",6532,"Nyiramwiza Solange","False","2021-03-04"," Arrives in ","['PfizerBiontech', 'CovidVaccine', 'Rwanda']",2,0,0,0,0,0,1,0,"LOW","NEU",82
