"","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"20","Alex Vie","False",2020-12-12,"The trump administration failed to deliver on vaccine promises, *shocker* ","['COVIDIOTS', 'coronavirus', 'CovidVaccine']","2",0,0,-0.3182,0.179,0.338,0.483,0,"LOW","NEG",0
"21","Mani","False",2020-12-12,"How much did the get paid to approve this all of a sudden now? money makes the world go around. ","['fda', 'vaccine']","2",0,0,0,0,0,1,0,"LOW","NEU",0
"22","Richard Dunne, MD","False",2020-12-12,"Anyone wondering why day after approval in the UK people were getting vaccinated but all we are tol… ","['PfizerBioNTech']","1",0,2,0.2617,0.108,0,0.892,0.5,"LOW","POS",0
"23","City A.M.","True",2020-12-12,"Trump announces rollout 'in less than 24 hours' The first Americans will be vaccinated against… ","['vaccine']","1",1,0,0,0,0,1,0.75,"LOW","NEU",0
"24","BOOM Live","True",2020-12-12,"The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… ","","1",1,5,-0.1531,0.114,0.148,0.739,2,"AVG","NEG",0
"25","DOCNOS Official","False",2020-12-12,"Presenting you the top Medical News/Advancement of the past week you don't want to miss! ","['docnosofficial', 'covid19']","2",0,3,0.3213,0.211,0.073,0.716,0.75,"LOW","POS",0
"26","Devan Surendran","False",2020-12-12,"No.1 of 2 done. and for making the dream poss… ","['ThankYouNHS', 'PfizerBioNTech', 'CovidVaccine']","2",1,10,0.25,0.182,0,0.818,3.25,"AVG","POS",0
"27","Tamer Yazar","False",2020-12-12,"Wear a mask, wash your hands, and remain socially distant when possible. ","['stayhome', 'StayAtHome', 'StayAtHomeSaveLives']","2",0,0,0,0,0,1,0,"LOW","NEU",0
"28","Michael Finn","False",2020-12-12,"⁦ approval Apprentice Style! ⁦ “Approve the or you… ","['PfizerBioNTech', 'FDA', 'vaccine']","2",0,0,0.5255,0.298,0,0.702,0,"LOW","POS",0
"29","Emiliano Pacelli","False",2020-12-12,"Interesting and very detailed article showing up how a well tested with will help d… ","['supplychain', 'sharedvisibility']","2",0,0,0.7579,0.385,0,0.615,0,"LOW","POS",0
"30","🦑Dr. Kraken-Elect Lipstick 💋","False",2020-12-12,"💉 COVID-19 belong… ","['Vaccine', 'TrumpVaccine', 'AstraZeneca', 'PfizerBioNTech', 'Pfizervaccine', 'PfizerCovidVaccine', 'Pfizer']","3",0,0,0,0,0,1,0,"LOW","NEU",0
"31","Andy Thomas","False",2020-12-12," 6 deaths so far. It's only death, nothing to worry about then 🤔 ","['CovidVaccines', 'Pfizervaccine']","2",0,2,-0.3599,0.131,0.213,0.656,0.5,"LOW","NEG",0
"32","Isabel Winnwa","False",2020-12-12," Please don’t spread fake news! There is no evidence that these cases are linked to the… ","","1",0,3,-0.5093,0.11,0.268,0.622,0.75,"LOW","NEG",0
"33","Contagion","False",2020-12-12," The Authorized the for the United States last night ","['ICYMI', 'FDA', 'PfizerBioNTech', 'COVID19', 'Vaccine']","3",0,1,0.4215,0.259,0,0.741,0.25,"LOW","POS",0
"34","Rob of the Green","False",2020-12-12,"All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… ","","1",0,0,0.3755,0.217,0.122,0.661,0,"LOW","POS",0
"35","Rajat Kotra","False",2020-12-12,"Vaccine!! Anyone?? ","['covid', 'Pfizervaccine', 'PfizerBioNTech']","2",0,0,0,0,0,1,0,"LOW","NEU",0
"36","Shahjhan Malik | #WearAMask","False",2020-12-12,"An immigrant Muslim couple find the COVID-19 Vaccine. ","['CovidVaccine', 'PfizerBioNTech', 'Pfizervaccine', 'PfizerProud']","2",2,37,0,0,0,1,10.75,"HIGH","NEU",0
"37","John Berry","False",2020-12-12,"The finally issues now comes the problem transporting this vaccine, needs to be kept at -… ","['FDA', 'EUA', 'PfizerBioNTech']","2",0,0,-0.4019,0,0.153,0.847,0,"LOW","NEG",0
"38","Farooq Anees","False",2020-12-12,"Ladies and Gentlemen, now we have experts in each and every household of 🤦‍♂️","['CovidVaccine', 'Pakistan', 'PfizerBioNTech', 'oxfordvaccine']","2",0,0,0,0,0,1,0,"LOW","NEU",0
"39","KHuntson","False",2020-12-12,"FACT SHEET FOR HEALTHCARE PROVIDERS ADMINISTERING VACCINE ","['PfizerBioNTech', 'CovidVaccine']","2",0,0,0,0,0,1,0,"LOW","NEU",0
"40","Party politics isn't working for anyone, anywhere","False",2020-12-12," check out table 23 of this and other tables too because it took the penny a w… ","","1",0,0,0,0,0,1,0,"LOW","NEU",0
"41","Party politics isn't working for anyone, anywhere","False",2020-12-12," it's the only one which doesn't have any side effects the a… ","['PfizerBioNTech']","1",0,0,0,0,0,1,0,"LOW","NEU",0
"42","KHuntson","False",2020-12-12,"FACT SHEET FOR RECIPIENTS AND CAREGIVERS ","['PfizerBioNTech', 'CovidVaccine']","2",0,0,0,0,0,1,0,"LOW","NEU",0
"43","mystic","False",2020-12-12," COVID-19 ","['CovidVaccine', 'Pfizer', 'PfizerBioNTech', 'COVID19', 'CapeTown']","3",0,1,0,0,0,1,0.25,"LOW","NEU",0
"44","City A.M.","True",2020-12-12,"Trump announces rollout 'in less than 24 hours' The first Americans will be vaccinated against… ","['vaccine']","1",0,2,0,0,0,1,0.5,"LOW","NEU",0
"45","Daily News Egypt","True",2020-12-12," authorizes vaccine for emergency use ","['FDA', 'PfizerBioNTech', 'coronavirus']","2",1,1,-0.3818,0,0.394,0.606,1,"LOW","NEG",0
"46","IP_Man","False",2020-12-20,"When The Poisons Enough Of The LEFT With ""Side Effects"" Like Or ☠️ As They Are Flocking… ","['CovidVaccine', 'BellsPalsy']","2",0,0,-0.296,0.108,0.159,0.733,0,"LOW","NEG",8
"47","tango","False",2020-12-19," Dairy dose of dumbsville by ","['DonTheCon', 'GrifterInChief', 'TrumpForPrison', 'TrumpCrimeFamily', 'COVID']","3",0,0,0,0,0,1,0,"LOW","NEU",7
"48","Vishwas Gaitonde","False",2020-12-19,"The US has approved two vaccines: &amp; Over 200 are being develo… ","['FDA', 'coronavirus', 'PfizerBioNTech', 'Moderna', 'vaccines']","3",0,0,0.4215,0.203,0,0.797,0,"LOW","POS",7
"49","Euranet Plus","False",2020-12-18,"As gets set to approve roll-out preparations pick up pace across Meanwhile… ","['PfizerBioNTech', 'vaccine', 'EU']","2",2,0,0,0,0,1,1.5,"AVG","NEU",6
"50","IP_Man","False",2020-12-18,"COVID-19: News and updates public questioned whether he actually received the shot. Video footage appeared to show… ","","1",0,0,-0.1027,0,0.08,0.92,0,"LOW","NEG",6
"51","Love Truth Faith ❤️","False",2020-12-16,"Tragedy. Another life taken by corporate greed and the evil pharmaceutical companies. ","['vaccination', 'vaccine']","2",0,0,-0.91,0,0.561,0.439,0,"LOW","NEG",4
"52","Dr. Taha Khan","False",2020-12-14,"I’ve never been so excited to get a vaccine 💉💉💉 ","['CovidVaccine', 'PfizerBioNTech', 'VaccinesSaveLives', 'VaccinesWork']","2",1,10,0.4795,0.221,0,0.779,3.25,"AVG","POS",2
"53","KaileyBen-Sassi","False",2020-12-14,"Building on last week’s ‘trial’ run and extending our vaccination 💉 programme this week . So much effort going on b… ","","1",1,16,0,0,0,1,4.75,"AVG","NEU",2
"54","theDove","False",2020-12-14,"The first COVID-19 vaccine doses have arrived in Oregon. Watch from 6am -9am tomorrow for det… ","['MorningsontheDove']","1",1,0,0,0,0,1,0.75,"LOW","NEU",2
"55","Iran International English","True",2020-12-14," has told the World Health Organization it does not intend to import the Covid-19 bec… ","['Iran', 'PfizerBioNTech', 'vaccine']","2",0,2,0,0,0,1,0.5,"LOW","NEU",2
"56","Nicole Van Groningen, MD","False",2020-12-14,"Concerned about the side effects of the vaccine? Check out my recap 👇🏼 ","['PfizerBioNTech', 'COVID19']","2",1,7,0,0,0,1,2.5,"AVG","NEU",2
"57","Karthik Raja","False",2020-12-14,"Such a great feeling. A big thank you to all the healthcare professionals; scientists, nurses, doctors, caregivers.… ","","1",0,3,0.7964,0.367,0,0.633,0.75,"LOW","POS",2
"58","Kris LaGrange","False",2020-12-14,"Members of the delivered the first this morning ","['COVID19Vaccine', 'teamsters', 'UPS', 'COVID19', 'Pfizer']","3",8,18,0,0,0,1,10.5,"HIGH","NEU",2
"59","Katharine Liang, MD, PhD","False",2020-12-14,"Getting my first dose of the next weekend and seeing this just made it so r… ","['PfizerBioNTech', 'CovidVaccine', 'UNBOXING']","2",0,2,0,0,0,1,0.5,"LOW","NEU",2
"60","Roger Simmons","False",2020-12-14,"Will you be taking the COVID-19 vaccine once available to you? ","['COVID19', 'Pfizer', 'BioNTech', 'vaccine', 'PfizerBioNTech']","3",0,0,0,0,0,1,0,"LOW","NEU",2
"61","Joanbeam3000","False",2020-12-14," That Rempel-Trudeau exchange had to be seen to be believed. (I saw it, too)… ","","1",0,4,0,0,0,1,1,"LOW","NEU",2
"62","H24","False",2020-12-14," New York state administered its first non-trial vaccine this morning to a health care worker. The P… ","['PfizerBioNTech']","1",3,3,0.4939,0.167,0,0.833,3,"AVG","POS",2
"63","Trudeau Kabuki 🎭 🐵 🤡 ☻","False",2020-12-14," = Female Sterilization 💥💥💥 =Untested No Liabilities ","['PfizerBioNTech', 'Pfizer', 'CrimesAgainstHumanity']","2",0,0,-0.7103,0.113,0.532,0.355,0,"LOW","NEG",2
"64","Trudeau Kabuki 🎭 🐵 🤡 ☻","False",2020-12-14," Key milestone achieved with shutting down &amp; of untested No L… ","['crushCovid', 'CoverUp', 'PfizerBioNTech']","2",0,2,-0.296,0,0.18,0.82,0.5,"LOW","NEG",2
"65","Emily Manley","False",2020-12-14," | says shipments of the vaccine will continue to ship to Missouri’s 21 vaccinat… ","['INBOX', 'PfizerBioNTech']","2",5,3,0,0,0,1,4.5,"AVG","NEU",2
"66","4 Luv Of Lambs, Lurchers, Hedgehogs","False",2020-12-14," ?? are Germany based. ?..lets just hope the small numbers are… ","['PfizerBioNTech']","1",0,1,0.533,0.256,0,0.744,0.25,"LOW","POS",2
"67","H24","False",2020-12-14,"ICU nurse Sandra Lindsay said she was 'very proud,' after becoming one of the first Americans to receive the Pfizer… ","","1",3,3,0.5256,0.152,0,0.848,3,"AVG","POS",2
"68","Joanbeam3000","False",2020-12-14," :: Screenshot of that exchange :: Unfortunately, Hansard does not c… ","['QP']","1",1,5,-0.34,0,0.194,0.806,2,"AVG","NEG",2
"69","Susan Kirchdoerffer","False",2020-12-14," As a physician currently with covid I cried. ","['VaccinesSaveLives', 'PfizerBioNTech']","2",0,1,-0.3818,0,0.271,0.729,0.25,"LOW","NEG",2
"70","Joanbeam3000","False",2020-12-14," Unfortunately, Hansard does not capture all the aggro finger-pointing and desk-thumping that were/a… ","","1",0,0,-0.34,0,0.167,0.833,0,"LOW","NEG",2
"71","Thread Reader Unroll Helper","False",2020-12-14," Hallo, the unroll you asked for: 1- Updated clinical guidel… ","['UK', 'NHS', 'MHRA', 'COVIDvaccine']","2",0,0,0,0,0,1,0,"LOW","NEU",2
"72","Joanbeam3000","False",2020-12-14," Odd verb choice there, Doug. You were on hand to observe -- to welcome, as Anita Anand put it -- under… ","","1",0,7,0.5994,0.234,0.087,0.679,1.75,"AVG","POS",2
"73","India Grace McAlister","False",2020-12-14,"The first Ontarian was vaccinated just minutes later. A PSW, Anita Quidangen in Toronto. ","['PfizerBioNTech']","1",0,1,0,0,0,1,0.25,"LOW","NEU",2
"74","Trudeau Kabuki 🎭 🐵 🤡 ☻","False",2020-12-14," Would you take the vaccine? Listen to the expert 💥💥 = Untested… ","['PfizerBioNTech']","1",0,1,-0.6124,0,0.312,0.688,0.25,"LOW","NEG",2
"75","Flying Magazine","False",2020-12-14,"Over the weekend, the issued guidance for pilots following use of the new for… ","['FAA', 'PfizerBioNTech', 'vaccine']","2",1,5,0,0,0,1,2,"AVG","NEU",2
"76","Prof. Manish Thakur","False",2020-12-14," the Scientists Husband-Wife are saving the world with their ","['UgurSahin', 'ozlemtureci', 'Muslim', 'PfizerBioNTech']","2",0,0,0,0,0,1,0,"LOW","NEU",2
"77","Graeme Schwindt","False",2020-12-14,"Surprised to learn those with autoimmune conditions or otherwise immunosuppressed are advised not to receive the… ","","1",0,0,0.2263,0.112,0,0.888,0,"LOW","POS",2
"78","Joanbeam3000","False",2020-12-14," Or how about Erin O'Toole's hand-picked Health Critic, going even further… ","","1",17,26,-0.2732,0,0.174,0.826,19.25,"HIGH","NEG",2
"79","Toni Kappesz","False",2020-12-14,"Where did the money go, if not to the covid pioneers and Asking for a friend - klan","['WarpSpeed', 'PfizerBioNTech', 'Moderna', 'GrifterTrump']","2",0,0,0.4939,0.158,0,0.842,0,"LOW","POS",2
"80","AcceGen","False",2020-12-14,"How the Vaccine Works? This article made a detailed explanation.👇 ","['PfizerBioNTech', 'COVID19']","2",0,0,0,0,0,1,0,"LOW","NEU",2
"81","kristingreenwood","False",2020-12-14," It is a new type of vaccine. That man is so daft it hurts my ears listening to him. The biggest question… ","","1",0,0,-0.5209,0,0.138,0.862,0,"LOW","NEG",2
"82","Joanbeam3000","False",2020-12-14," 🙋🏼‍♀️ Did you actually read the Global News article, Jagmeet? This tweet -- embedded therein -- j… ","","1",2,3,0.4939,0.122,0,0.878,2.25,"AVG","POS",2
"83","Karleigh Stone","False",2020-12-14,"FIRST U.S. COVID-19 VACCINATIONS TODAY 🙌🏻 Thank you to everyone stepping up and getting it. ","['CovidVaccine']","1",0,0,0.3612,0.122,0,0.878,0,"LOW","POS",2
"84","TheAfroNews-TAN","False",2020-12-14," a personal support worker in became one of the first people in to receive a… ","['AnitaQuidangen', 'Toronto', 'Canada']","2",0,0,0.4019,0.162,0,0.838,0,"LOW","POS",2
"85","Genevieve Reaume","True",2020-12-14,"The state is supposed to get 35,100 doses total of the vaccine this week. The remained 30,225 will… ","['PfizerBioNTech']","1",0,0,0,0,0,1,0,"LOW","NEU",2
"86","Evan J. Lancaster","False",2020-12-14," will get 25K doses of Vaccine by Wednesday Dec. 15, confirms. ","['OrangeCounty', 'PfizerBioNTech']","2",0,1,0,0,0,1,0.25,"LOW","NEU",2
"87","Genevieve Reaume","True",2020-12-14," - just in from on -""Legacy Health is the first registered COVID-19 vaccine… ","['BREAKING', 'COVID19', 'vaccine']","2",1,6,0,0,0,1,2.25,"AVG","NEU",2
"88","Joanbeam3000","False",2020-12-14," 🙋🏼‍♀️ Ruh-roh, Anita, I (also) saw/heard Michelle Rempel suggest -- during in the House… ","['QP']","1",3,16,0.4939,0.138,0,0.862,6.25,"AVG","POS",2
"89","KFDM News","True",2020-12-14,"KFDM’s/FOX 4’s is at Baptist hospital getting a first hand look at where the Pfizer COVID-19 vacci… ","","1",3,2,0.4939,0.167,0,0.833,2.75,"AVG","POS",2
"90","Next Shot","False",2020-12-14,"Canadian PM Justin Trudeau announced the arrival of the first of the vaccine vials in the country. ","['BioNTech', 'PfizerBioNTech']","2",0,0,0,0,0,1,0,"LOW","NEU",2
"91","Aru Sivananthan 🇬🇧 🇦🇺","False",2020-12-14,"Privileged be offered the vaccine. I would encourage everyone to take it up. It’ll help protect peo… ","['PfizerBioNTech']","1",1,4,0.8885,0.469,0,0.531,1.75,"AVG","POS",2
"92","Meghna W","False",2020-12-14,"One of the first vaccines receivers in the US. Momentous for science. Hope has arrived. ","['COVID19', 'CovidVaccine']","2",0,0,0.4404,0.172,0,0.828,0,"LOW","POS",2
"93","Jennifer Robson","False",2020-12-14,"Half way there ","['COVID19', 'CovidVaccine', 'vaccination', 'Pfizervaccine', 'PfizerBioNTech']","3",0,4,0,0,0,1,1,"LOW","NEU",2
"94","Francesco Moscone","False",2020-12-14,"Can’t wait to take my kids towards herd immunity 🐑 🐑 🥳🥳 ","['vaccines', 'PfizerBioNTech']","2",0,0,0.6369,0.286,0,0.714,0,"LOW","POS",2
"95","India Blooms","False",2020-12-14,"Toronto to receive Ontario's 1st doses of Pfizer COVID-19 vaccine today ","['Ontario']","1",0,0,0,0,0,1,0,"LOW","NEU",2
"96","Evan Webeck","True",2020-12-14,"There is some good news: The first doses of the vaccine arrived in California last night. Gov. Gav… ","['PfizerBioNTech']","1",0,1,0.4404,0.146,0,0.854,0.25,"LOW","POS",2
"97","Human_9.0","False",2020-12-14,"WHERE IS THE PANDEMIC ? ","['PCRGATE', 'Condemic', 'BillGatesIsNotADoctor', 'PfizerBioNTech', 'Moderna', 'AstraZeneca']","3",0,2,0,0,0,1,0.5,"LOW","NEU",2
"98","Most Audacious Idol","False",2020-12-14,"Make vaccine companies liable again... ","['PfizerBioNTech', 'pfizer', 'johnsonandtoxin', 'vaccinesarepoison']","2",0,0,0,0,0,1,0,"LOW","NEU",2
"99","The New Dispatch","False",2020-12-14,"The FDA Authorizes Emergency Use Of The Pfizer Vaccine ","['PFE', 'Pfizer', 'Pfizervaccine']","2",0,0,-0.3818,0,0.245,0.755,0,"LOW","NEG",2
"100","Hillary B-T","False",2020-12-14," Supervising. I’m torn between politicians going first(ish) to show how important is,… ","","1",0,1,-0.0516,0.13,0.145,0.725,0.25,"LOW","NEG",2
"101","Kraken-Elect AsuAdanac 🇨🇦💙","False",2020-12-14," Just wondering, has every Pfizer employee all the way to the boardroom been vaccinated yet?","['PfizerBioNTech']","1",0,3,0,0,0,1,0.75,"LOW","NEU",2
"102","Julie Dzerowicz","True",2020-12-14,"Last night, the first arrived in Canada and as we speak, the first of the vaccines are being admin… ","['COVID19Vaccines']","1",4,15,0,0,0,1,6.75,"AVG","NEU",2
"103","Ryan Phillips","False",2020-12-14,"Happy Cold Chain Day! The only way to get a vaccine distributed across the county ","['coldchain', 'PfizerBioNTech', 'industrial', 'cre']","2",0,1,0.6114,0.222,0,0.778,0.25,"LOW","POS",2
"104","Katie Crowfoot","False",2020-12-14,"Received my first dose of the today. I feel very privileged &amp; lucky to have this to p… ","['CovidVaccine', 'PfizerBioNTech']","2",3,25,0.7397,0.281,0,0.719,8.5,"AVG","POS",2
"105","IANS Tweets","True",2020-12-14,"With several countries including the US and the UK now approving the use of ","['PfizerBioNTech', 'COVID19Vaccine']","2",2,5,0,0,0,1,2.75,"AVG","NEU",2
"106","Katie","False",2020-12-14,"The hospital I work at has received the vaccine. Our IV room made the first five doses to be given in the state. I’… ","","1",1,2,0,0,0,1,1.25,"AVG","NEU",2
"107","Maryam Monsef","True",2020-12-14,"Last night, welcomed the first 30K doses of the to 🇨🇦. Although we have a l… ","['PfizerBioNTech', 'vaccine']","2",3,19,0.34,0.138,0,0.862,7,"AVG","POS",2
"108","Melissa GD M.D.","False",2020-12-14,"Historical moment of the administered at @ Pitt… ","['FirstDose', 'PfizerBioNTech', 'COVID_19', 'Vaccine', 'UPMC']","3",0,0,0,0,0,1,0,"LOW","NEU",2
"109","Sirf News","False",2020-12-14," A nurse in New York City on Monday became the first person in the United States to receive the corona… ","['BreakingNews']","1",0,0,0.4215,0.128,0,0.872,0,"LOW","POS",2
"110","AFP News Agency","True",2020-12-14," A nurse in New York City on Monday became the first person in the United States to receive the coronavirus… ","['UPDATE']","1",7,21,0.4215,0.128,0,0.872,10.5,"HIGH","POS",2
"111","Nicole Osei","False",2020-12-14," has received its first shipment of vaccine. Front line healthcare… ","['NEW', 'PfizerBioNTech', 'COVID19']","2",1,2,0,0,0,1,1.25,"AVG","NEU",2
"112","Florida Man 🎄","False",2020-12-14,"It’s kind of surreal that the vaccine is dropping today ","['PfizerBioNTech']","1",0,1,0,0,0,1,0.25,"LOW","NEU",2
"113","FeedingtheTurkeys","False",2020-12-14,"Coronavirus vaccine ships today, expect hospitals to be overwhelmed in nine months ...with baby deliveries 😁… ","","1",1,1,0.4939,0.189,0,0.811,1,"LOW","POS",2
"114","MimiMD83","False",2020-12-14,"Per the CDC, persons with HIV and other immunocompromising conditions may still receive the COVID-19 vaccine unless… ","","1",1,2,0,0,0,1,1.25,"AVG","NEU",2
"115","I'm a Karen","False",2020-12-14," I'm not graveling at the feet of someone who has killed over 290K USA. I appreciate the ","['scientist']","1",0,0,-0.362,0.178,0.2,0.622,0,"LOW","NEG",2
"116","Hardik Pota","False",2020-12-14,"If science is same everywhere so should be it's results. Entire world should approve vaccine which one country has… ","","1",0,2,0,0,0,1,0.5,"LOW","NEU",2
"117","Nicole Osei","False",2020-12-14,"President Trump says the first vaccine in the United States has been administered. ","['PfizerBioNTech', 'COVID19']","2",2,4,0.4215,0.189,0,0.811,2.5,"AVG","POS",2
"118","Can OZDEMIR","False",2020-12-14,"1st doses of vaccine arrive in By ","['PfizerBioNTech', 'COVID19', 'Canada']","2",0,0,0,0,0,1,0,"LOW","NEU",2
"119","BartDay","False",2020-12-14," To Transport Initial Doses $UPS $FDX ","['UPS', 'FedEx', 'PfizerBioNTech', 'COVID19Vaccine']","2",1,1,0,0,0,1,1,"LOW","NEU",2
"120","CityNews Montreal","True",2020-12-14," Vaccination campaign begins today in Quebec. Residents at Maimonides will be among the first seniors in… ","['New']","1",2,3,0,0,0,1,2.25,"AVG","NEU",2
"121","SmartKargo | Born in the Cloud","False",2020-12-14,"Kudos UPS! announced on 13th, its involvement &amp; full support of distribution efforts for ","['PfizerBioNTech']","1",0,2,0.7424,0.344,0,0.656,0.5,"LOW","POS",2
"122","FinanceTweeter","False",2020-12-14,"From Tuna To - How Container Freezers Used To Ship Are Given A New Role -… ","['Fish', 'COVID19', 'Vaccine', 'Seafood']","2",0,1,-0.0258,0,0.068,0.932,0.25,"LOW","NEU",2
"123","Kristen Rogers MD MPH","False",2020-12-14,"The end is in sight, many of my coworkers and I are getting our first doses of the to… ","['PfizerBioNTech', 'CovidVaccine']","2",6,24,0,0,0,1,10.5,"HIGH","NEU",2
"124","UGH INVESTMENT CORP📈","False",2020-12-14,"Pfizer received emergency use authorization from the Food and Drug Administration for the Covid-19 vaccine develope… ","","1",0,0,-0.3818,0,0.148,0.852,0,"LOW","NEG",2
"125","Hof","False",2020-12-14,"Thank you Thank you Thank you to all of the scientists who worked on the development of the vaccine for COVID-19. T… ","","1",1,4,0.7579,0.283,0,0.717,1.75,"AVG","POS",2
"126","عماد الصالح","False",2020-12-14,"WELL DONE USA 🇺🇲👍 ","['PfizerBioNTech', 'Pfizervaccine', 'COVID19']","2",0,0,0.4278,0.362,0,0.638,0,"LOW","POS",2
"127","770 CHQR Global News Radio","True",2020-12-14,"Sunday evening’s shipment is the first of an initial 30,000 doses of the Pfizer vaccine to be spread across 14 dist… ","","1",0,1,0,0,0,1,0.25,"LOW","NEU",2
"128","CityNews Montreal","True",2020-12-14," Shipments of initial doses of the COVID-19 vaccines arrived in selected ports of entry in Canada on Sunday… ","['WATCH']","1",0,0,0,0,0,1,0,"LOW","NEU",2
"129","LatestLY","True",2020-12-14," Approves Pfizer Vaccine, First Shipment Expected by End of Says PM Lee Hsien Loong… ","['Singapore', 'COVID19', 'December']","2",0,2,0.4019,0.172,0,0.828,0.5,"LOW","POS",2
"130","Palli Thordarson","False",2020-12-14,"Here are the lipids used in lipid nanoparticle used the BioNTech/Pfizer The t… ","['mRNA', 'PfizerBioNTech', 'CovidVaccine']","2",6,42,0,0,0,1,15,"HIGH","NEU",2
"131","PhotoTelegram","False",2020-12-14,"Canada to begin roll-out ","['PfizerBioNTech', 'Covid19Vaccine']","2",0,0,0,0,0,1,0,"LOW","NEU",2
"132","Rachna Tandon","False",2020-12-14,"More approvals to vaccine: approves expects first shots by Decemb… ","['PfizerBioNTech', 'Singapore', 'CovidVaccine']","2",0,0,0.4019,0.231,0,0.769,0,"LOW","POS",2
"133","Marc Siegel MD","False",2020-12-14,"First Pfizer coronavirus vaccine doses set to arrive at hospitals ","['PfizerBioNTech']","1",3,21,0,0,0,1,7.5,"AVG","NEU",2
